num machines: 3,ticks per second: 2,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614753447.6649148,1,work,,,
1614753448.165885,2,receive,,2,1
1614753448.669653,5,receive,,1,3
1614753449.169687,6,receive,,2,3
1614753449.67019,7,receive,,1,2
1614753450.174189,8,receive,,1,3
1614753450.6789582,13,receive,,2,2
1614753451.182579,14,receive,,2,1
1614753451.68573,15,work,,,
1614753452.189475,23,receive,,2,3
1614753452.69431,24,receive,,1,3
1614753453.199172,25,receive,,2,2
1614753453.701313,27,receive,,1,3
1614753454.2055511,30,receive,,1,3
1614753454.710496,31,receive,,1,3
1614753455.214228,33,receive,,1,3
1614753455.717542,35,receive,,1,3
1614753456.220285,38,receive,,2,2
1614753456.725363,41,receive,,2,1
1614753457.227781,49,receive,,2,1
1614753457.7325041,51,receive,,2,1
1614753458.2341828,54,receive,,2,1
1614753458.7820039,55,send,1,,
1614753458.819722,55,send,2,,
1614753459.240198,56,work,,,
1614753459.742301,60,receive,,1,1
1614753460.2441442,62,receive,,1,1
1614753460.7861671,63,send,1,,
1614753461.2463732,68,receive,,1,2
1614753461.750227,70,receive,,2,1
1614753462.255112,74,receive,,2,2
1614753462.7552269,75,receive,,1,3
1614753463.25844,76,receive,,1,2
1614753463.7634351,77,receive,,2,1
1614753464.2682319,83,receive,,1,2
1614753464.771337,84,receive,,2,1
1614753465.275119,90,receive,,2,1
1614753465.8043861,91,send,2,,
1614753466.280112,95,receive,,2,1
1614753466.826329,96,send,1,,
1614753466.8542268,96,send,2,,
1614753467.2859142,99,receive,,1,1
1614753467.789551,101,receive,,1,1
1614753468.294963,103,receive,,1,1
1614753468.7988281,106,receive,,2,1
1614753469.300032,107,work,,,
1614753469.804418,110,receive,,2,1
1614753470.304418,111,work,,,
1614753470.8082728,115,receive,,2,3
1614753471.3119612,116,receive,,2,2
1614753471.812843,117,receive,,2,1
1614753472.3144,124,receive,,2,1
1614753472.817718,127,receive,,2,1
1614753473.321391,128,receive,,1,2
1614753473.8242738,129,receive,,1,2
1614753474.324512,130,receive,,1,2
1614753474.825908,131,receive,,1,1
1614753475.330205,138,receive,,2,1
1614753475.83101,140,receive,,1,1
1614753476.335079,143,receive,,1,1
1614753476.838537,144,work,,,
1614753477.340914,147,receive,,1,1
1614753477.844223,152,receive,,2,1
1614753478.3443441,153,work,,,
1614753478.847796,155,receive,,1,2
1614753479.349447,156,receive,,2,1
1614753479.886768,157,send,1,,
1614753480.357426,164,receive,,2,1
1614753480.860947,165,work,,,
1614753481.3643641,166,work,,,
1614753481.8682728,171,receive,,2,1
1614753482.371386,172,receive,,2,1
1614753482.874235,176,receive,,2,1
1614753483.3775182,179,receive,,2,1
1614753483.8800828,180,work,,,
1614753484.384299,183,receive,,1,2
1614753484.88621,184,receive,,2,1
1614753485.389529,185,work,,,
1614753485.894528,189,receive,,1,1
1614753486.3996181,190,work,,,
1614753486.90417,191,work,,,
1614753487.4082959,197,receive,,2,1
1614753487.9128199,201,receive,,2,1
1614753488.416629,202,work,,,
1614753488.9203498,203,work,,,
1614753489.425163,206,receive,,1,3
1614753489.9291909,208,receive,,2,2
1614753490.429367,209,receive,,1,1
1614753490.9298098,215,receive,,2,1
1614753491.4726138,216,send,2,,
1614753491.935922,221,receive,,2,1
1614753492.43981,223,receive,,2,1
1614753492.944136,224,work,,,
1614753493.44576,225,work,,,
1614753493.9488928,231,receive,,2,1
1614753494.483743,232,send,1,,
1614753494.953948,233,work,,,
1614753495.456362,234,work,,,
1614753495.96012,241,receive,,1,1
1614753496.461012,243,receive,,1,1
1614753496.9644601,245,receive,,1,1
1614753497.465224,246,receive,,1,2
1614753497.966109,247,receive,,1,1
1614753498.468517,252,receive,,2,2
1614753498.9727979,253,receive,,1,2
1614753499.477061,256,receive,,1,3
1614753499.980757,257,receive,,1,3
1614753500.4848619,258,receive,,1,2
1614753500.985281,259,receive,,1,2
1614753501.4853618,266,receive,,2,1
1614753501.989368,270,receive,,1,1
1614753502.489414,271,work,,,
1614753502.990939,273,receive,,1,1
1614753503.494074,274,work,,,
1614753503.995714,277,receive,,1,1
1614753504.4997,278,work,,,
1614753505.0433989,279,send,2,,
1614753505.5046558,280,work,,,
1614753506.008415,285,receive,,1,1
1614753506.552324,286,send,2,,
1614753507.010859,289,receive,,1,1
1614753507.5494359,290,send,2,,
