num machines: 12,ticks per second: 4,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614810688.6840441,1,send,2,,
1614810688.887498,2,send,3,,
1614810689.108959,3,send,3,,
1614810689.362931,4,send,2,,
1614810689.617549,5,send,3,,
1614810689.8720279,6,send,1,,
1614810690.1249971,7,send,3,,
1614810690.377492,8,send,0,,
1614810690.632998,9,send,3,,
1614810690.89952,10,send,5,,
1614810691.132478,11,send,5,,
1614810691.386417,12,send,2,,
1614810691.640532,13,send,1,,
1614810691.887105,14,send,5,,
1614810692.138458,15,send,1,,
1614810692.409562,16,send,0,,
1614810692.64197,17,send,2,,
1614810692.8930712,18,send,2,,
1614810693.141404,19,send,2,,
1614810693.399055,20,send,5,,
1614810693.648269,21,send,1,,
1614810693.90047,22,send,5,,
1614810694.149209,23,send,4,,
1614810694.402016,24,send,2,,
1614810694.655977,25,send,0,,
1614810694.906039,26,send,1,,
1614810695.168522,27,send,4,,
1614810695.4135702,28,send,2,,
1614810695.666991,29,send,0,,
1614810695.9187799,30,send,1,,
1614810696.1702662,31,send,4,,
1614810696.4251058,32,send,5,,
1614810696.682614,33,send,5,,
1614810696.93296,34,send,0,,
1614810697.1814551,35,send,3,,
1614810697.4348202,36,send,3,,
1614810697.68514,37,send,4,,
1614810697.940128,38,send,5,,
1614810698.1941152,39,send,5,,
1614810698.4510589,40,send,2,,
1614810698.700442,41,send,1,,
1614810698.95405,42,send,2,,
1614810699.210552,43,send,2,,
1614810699.4569862,44,send,2,,
1614810699.7093031,45,send,3,,
1614810699.958061,46,send,0,,
1614810700.208098,47,send,2,,
1614810700.460264,48,send,3,,
1614810700.708747,49,send,3,,
1614810700.9646442,50,send,4,,
1614810701.212377,51,send,5,,
1614810701.4678578,52,send,1,,
1614810701.714405,53,send,4,,
1614810701.969517,54,send,2,,
1614810702.2190452,55,send,4,,
1614810702.472207,56,send,0,,
1614810702.723781,57,send,2,,
1614810702.9784992,58,send,0,,
1614810703.230048,59,send,0,,
1614810703.482273,60,send,4,,
1614810703.7251258,61,send,2,,
1614810703.981334,62,send,1,,
1614810704.2361758,63,send,3,,
1614810704.484262,64,send,1,,
1614810704.7347178,65,send,2,,
1614810704.9862862,66,send,2,,
1614810705.2374349,67,send,2,,
1614810705.49547,68,send,3,,
1614810705.740864,69,send,3,,
1614810705.994926,70,send,0,,
1614810706.252749,71,send,1,,
1614810706.501821,72,send,5,,
1614810706.751256,73,send,3,,
1614810707.000876,74,send,5,,
1614810707.251572,75,send,0,,
1614810707.5032551,76,send,3,,
1614810707.7506912,77,send,3,,
1614810708.013723,78,send,0,,
1614810708.263529,79,send,3,,
1614810708.518181,80,send,5,,
1614810708.762225,81,send,0,,
1614810709.0176902,82,send,3,,
1614810709.26791,83,send,4,,
1614810709.51531,84,send,0,,
1614810709.772164,85,send,3,,
1614810710.024556,86,send,5,,
1614810710.273338,87,send,0,,
1614810710.5207071,88,send,1,,
1614810710.7761369,89,send,5,,
1614810711.0197382,90,send,1,,
1614810711.271826,91,send,3,,
1614810711.526968,92,send,2,,
1614810711.780471,93,send,0,,
1614810712.0349052,94,send,4,,
1614810712.2868428,95,send,0,,
1614810712.535464,96,send,5,,
1614810712.7922711,97,send,5,,
1614810713.04092,98,send,3,,
1614810713.28781,99,send,4,,
1614810713.543741,100,send,2,,
1614810713.790231,101,send,3,,
1614810714.037025,102,send,4,,
1614810714.2895072,103,send,5,,
1614810714.545506,104,send,5,,
1614810714.793536,105,send,5,,
1614810715.04109,106,send,0,,
1614810715.29455,107,send,1,,
1614810715.547312,108,send,2,,
1614810715.797365,109,send,0,,
1614810716.047206,110,send,5,,
1614810716.294642,111,send,0,,
1614810716.550821,112,send,4,,
1614810716.798939,113,send,0,,
1614810717.047932,114,send,1,,
1614810717.306645,115,send,0,,
1614810717.5565581,116,send,3,,
1614810717.80989,117,send,5,,
1614810718.05918,118,send,0,,
1614810718.309039,119,send,0,,
1614810718.5627,120,send,5,,
1614810718.8151941,121,send,5,,
1614810719.0638819,122,send,0,,
1614810719.3178508,123,send,3,,
1614810719.5642822,124,send,1,,
1614810719.8182762,125,send,5,,
1614810720.0776389,126,send,5,,
1614810720.3256168,127,send,2,,
1614810720.57104,128,send,1,,
1614810720.827405,129,send,1,,
1614810721.078727,130,send,4,,
1614810721.332376,131,send,0,,
1614810721.583334,132,send,1,,
1614810721.8323112,133,send,4,,
1614810722.087904,134,send,1,,
1614810722.341496,135,send,0,,
1614810722.596077,136,send,0,,
1614810722.8483279,137,send,5,,
1614810723.100383,138,send,1,,
1614810723.350664,139,send,2,,
1614810723.59801,140,send,3,,
1614810723.8615592,141,send,3,,
1614810724.136157,142,send,0,,
1614810724.368236,143,send,3,,
1614810724.6208158,144,send,3,,
1614810724.86735,145,send,5,,
1614810725.112471,146,send,3,,
1614810725.368754,147,send,3,,
1614810725.616446,148,send,2,,
1614810725.869747,149,send,0,,
1614810726.135338,150,send,0,,
1614810726.369765,151,send,0,,
1614810726.6258821,152,send,5,,
1614810726.867837,153,send,1,,
1614810727.12211,154,send,3,,
1614810727.371628,155,send,5,,
1614810727.622596,156,send,2,,
1614810727.8741398,157,send,4,,
1614810728.1267672,158,send,3,,
1614810728.385874,159,send,0,,
1614810728.633023,160,send,1,,
1614810728.882878,161,send,0,,
1614810729.14064,162,send,3,,
1614810729.3877602,163,send,5,,
1614810729.6395452,164,send,0,,
1614810729.89199,165,send,2,,
1614810730.146453,166,send,0,,
1614810730.401453,167,send,3,,
1614810730.649855,168,send,3,,
1614810730.898023,169,send,1,,
1614810731.154507,170,send,3,,
1614810731.397989,171,send,1,,
1614810731.652884,172,send,1,,
1614810731.903588,173,send,1,,
1614810732.1657119,174,send,3,,
1614810732.409347,175,send,3,,
1614810732.6595252,176,send,4,,
1614810732.911992,177,send,1,,
1614810733.166823,178,send,3,,
1614810733.417423,179,send,1,,
1614810733.671531,180,send,2,,
1614810733.926425,181,send,5,,
1614810734.176818,182,send,3,,
1614810734.4300852,183,send,1,,
1614810734.684144,184,send,3,,
1614810734.9447901,185,send,1,,
1614810735.193281,186,send,5,,
1614810735.4413052,187,send,3,,
1614810735.690481,188,send,0,,
1614810735.942316,189,send,3,,
1614810736.196842,190,send,2,,
1614810736.4538271,191,send,4,,
1614810736.702444,192,send,2,,
1614810736.956141,193,send,0,,
1614810737.203275,194,send,0,,
1614810737.4511821,195,send,2,,
