num machines: 3,ticks per second: 5,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614728826.731404,1,send,1,,
1614728826.8894331,2,receive,,2,1
1614728827.092549,3,work,,,
1614728827.317703,4,send,1,,
1614728827.336585,4,send,2,,
1614728827.517875,5,send,1,,
1614728827.725445,6,send,1,,
1614728827.935231,7,send,2,,
1614728828.108567,8,work,,,
1614728828.3369238,9,send,1,,
1614728828.359426,9,send,2,,
1614728828.5385852,10,send,1,,
1614728828.5650392,10,send,2,,
1614728828.745595,11,send,1,,
1614728828.9441159,12,send,1,,
1614728828.9641888,12,send,2,,
1614728829.124514,13,work,,,
1614728829.351629,14,send,2,,
1614728829.532521,15,work,,,
1614728829.7579288,16,send,1,,
1614728829.960315,17,send,2,,
1614728830.169526,18,send,1,,
1614728830.1943512,18,send,2,,
1614728830.3694239,19,send,1,,
1614728830.549312,20,work,,,
1614728830.7865448,21,send,1,,
1614728830.813097,21,send,2,,
1614728830.978666,22,send,1,,
1614728831.180368,23,send,1,,
1614728831.200589,23,send,2,,
1614728831.3617332,24,work,,,
1614728831.586803,25,send,1,,
1614728831.607907,25,send,2,,
1614728831.76999,26,work,,,
1614728831.993744,27,send,1,,
1614728832.1960242,28,send,2,,
1614728832.400962,29,send,1,,
1614728832.422904,29,send,2,,
1614728832.60305,30,send,1,,
1614728832.811927,31,send,1,,
1614728833.013224,32,send,2,,
1614728833.22183,33,send,1,,
1614728833.2437499,33,send,2,,
1614728833.398608,34,work,,,
1614728833.623743,35,send,2,,
1614728833.833357,36,send,1,,
1614728834.034844,37,send,1,,
1614728834.058867,37,send,2,,
1614728834.233952,38,send,2,,
1614728834.418995,39,work,,,
1614728834.643428,40,send,1,,
1614728834.664,40,send,2,,
1614728834.8518012,41,send,1,,
1614728834.875596,41,send,2,,
1614728835.053076,42,send,1,,
1614728835.258187,43,send,1,,
1614728835.4616792,44,send,2,,
1614728835.6608288,45,send,1,,
1614728835.866453,46,send,1,,
1614728835.891983,46,send,2,,
1614728836.067901,47,send,1,,
1614728836.087859,47,send,2,,
1614728836.274379,48,send,2,,
1614728836.453009,49,work,,,
1614728836.6551838,50,work,,,
1614728836.878619,51,send,2,,
1614728837.0784059,52,send,2,,
1614728837.284532,53,send,2,,
1614728837.490221,54,send,1,,
1614728837.6703382,55,receive,,1,1
1614728837.897381,56,send,2,,
1614728838.099571,57,send,2,,
1614728838.2821078,58,receive,,1,1
1614728838.500535,59,send,1,,
1614728838.6870558,60,receive,,1,1
1614728838.915319,61,send,1,,
1614728838.9425778,61,send,2,,
1614728839.113993,62,send,1,,
1614728839.134159,62,send,2,,
1614728839.318092,63,send,1,,
1614728839.337981,63,send,2,,
1614728839.500542,64,work,,,
1614728839.7045498,65,work,,,
1614728839.9305549,66,send,1,,
1614728839.95905,66,send,2,,
1614728840.1354299,67,send,2,,
1614728840.3136451,68,work,,,
1614728840.517676,69,receive,,1,1
1614728840.7445939,70,send,1,,
1614728840.948528,71,send,2,,
1614728841.129754,72,work,,,
1614728841.3341281,73,receive,,1,1
1614728841.536444,74,work,,,
1614728841.76098,75,send,1,,
1614728841.939987,76,work,,,
1614728842.169426,77,send,2,,
